Banda,Descripción,N píxeles,Media,Mediana,Std,P1,P99,CV
B02 (10m),Blue (490 nm),192562402,0.3028654045165058,0.0977,0.36875374654009063,0.0151,1.3834,1.217549911344328
B03 (10m),Green (560 nm),192590181,0.2977047039822866,0.1132,0.3354832834545721,0.0215,1.2854,1.1268995042881262
B04 (10m),Red (665 nm),192596487,0.27612789160790874,0.1056,0.32310086658905307,0.013,1.2204,1.1701131116838892
B05 (20m),RedEdge 1 (705 nm),48130747,0.3189837462235938,0.1523,0.3174928208213266,0.0309,1.2592,0.9953260141952351
B06 (20m),RedEdge 2 (740 nm),48130747,0.39264271865134354,0.2854,0.2584842089860391,0.0674,1.1762,0.6583191197535854
B07 (20m),RedEdge 3 (783 nm),48130747,0.4207107843080017,0.3387,0.23908918600827364,0.0813,1.1426,0.568298210716669
B08 (10m),NIR (842 nm),192596487,0.41323034899073735,0.3395,0.23689090418323097,0.0672,1.1323,0.5732659876131565
B8A (20m),NIR narrow (865 nm),48130747,0.43572423351958356,0.3664,0.22728534549266685,0.0855,1.1185,0.5216265884607698
B11 (20m),SWIR 1 (1610 nm),48130747,0.29099471320692366,0.2379,0.16256947561024265,0.0428,0.7357,0.5586681412963478
B12 (20m),SWIR 2 (2190 nm),48130747,0.20768265416283688,0.1526,0.1471495027048092,0.0224,0.6119,0.7085305377433266
