Banda,Descripción,N píxeles,Media,Mediana,Std,P1,P99,CV
B02 (10m),Blue (490 nm),197159251,0.28380465790266163,0.087,0.3500860778099958,0.013,1.324,1.2335459194849174
B03 (10m),Green (560 nm),197160603,0.2802268299909795,0.105,0.3178515036962541,0.0209,1.2292,1.1342650651725934
B04 (10m),Red (665 nm),197160606,0.2598677989942879,0.0962,0.30709745593072146,0.0128,1.1701,1.1817449372374804
B05 (20m),RedEdge 1 (705 nm),49269458,0.3035324324229424,0.146,0.30117636830822453,0.0314,1.208,0.9922378501857794
B06 (20m),RedEdge 2 (740 nm),49269458,0.38229892752828737,0.2856,0.24309337100884398,0.0688,1.1301,0.635872489930722
B07 (20m),RedEdge 3 (783 nm),49269458,0.4123071374927648,0.3384,0.22567676960970054,0.0835,1.1041,0.5473511104544622
B08 (10m),NIR (842 nm),197160606,0.40529034614501025,0.3396,0.22163946683854574,0.0699,1.0818,0.5468658922967733
B8A (20m),NIR narrow (865 nm),49269458,0.42774300887783256,0.3656,0.2138270372280258,0.0889,1.0799,0.49989604210949756
B11 (20m),SWIR 1 (1610 nm),49269458,0.28627934153446544,0.234,0.1587312446283258,0.046,0.7172,0.5544627974972819
B12 (20m),SWIR 2 (2190 nm),49269458,0.20219213710043246,0.146,0.14319100342053798,0.0244,0.5964,0.7081927388630012
